ID,파일명,쪽수,제목,배포 형태,자료 수,제출일,배포 예정일,담당 역할,일정표의 배포일,유형,근거 위치,메모
S01,S01_이번_주_읽을_거리_1호.pdf,1,이번 주 읽을 거리 1호,직접 배부,8,2026-05-11,2026-05-18,편집역할,2026-05-18,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S02,S02_함께_읽는_오후_자료꾸러미.pdf,2,함께 읽는 오후 자료꾸러미,온라인,12,2026-05-11,2026-05-20,진행역할,2026-05-20,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S03,S03_봄_독서_묶음.pdf,1,봄 독서 묶음,우편,6,2026-05-12,2026-05-22,편집역할,2026-05-22,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S04,S04_짧은_글_모음_1차.pdf,1,짧은 글 모음 1차,직접 배부,10,2026-05-12,2026-05-19,검토역할,2026-05-19,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S05,S05_그림책_함께_보기.pdf,1,그림책 함께 보기,온라인,5,2026-05-13,2026-05-21,진행역할,2026-05-21,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S06,S06_이번_주_읽을_거리_2호.pdf,1,이번 주 읽을 거리 2호,직접 배부,9,2026-05-13,2026-05-25,편집역할,2026-05-25,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S07,S07_밑줄_긋는_밤.pdf,1,밑줄 긋는 밤,온라인,7,2026-05-14,2026-05-26,검토역할,2026-05-26,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S08,S08_천천히_읽기_묶음.pdf,1,천천히 읽기 묶음,우편,4,2026-05-14,2026-05-27,진행역할,2026-05-27,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S09,S09_같이_읽는_기사_모음.pdf,2,같이 읽는 기사 모음,온라인,15,2026-05-15,2026-05-28,편집역할,2026-05-28,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S10,S10_여름_준비_읽을거리.pdf,1,여름 준비 읽을거리,직접 배부,11,2026-05-15,2026-06-01,검토역할,2026-06-01,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S11,S11_한_장_짜리_읽기_카드.pdf,2,한 장 짜리 읽기 카드,직접 배부,20,2026-05-18,2026-06-02,진행역할,2026-06-02,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S12,S12_질문이_있는_자료집.pdf,1,질문이 있는 자료집,온라인,6,2026-05-18,2026-06-03,편집역할,2026-06-03,normal,1쪽 신청 항목 표 / 1쪽 진행 일정 표,
S13,S13_조용한_독서_묶음.pdf,1,조용한 독서 묶음,우편,7,2026-05-19,2026-06-04,,2026-06-04,missing,1쪽 신청 항목 표 / 1쪽 진행 일정 표,담당 역할 칸이 비어 있음
S14,S14_읽고_나누는_자료꾸러미.pdf,1,읽고 나누는 자료꾸러미,온라인,,2026-05-19,2026-06-05,검토역할,2026-06-05,missing,1쪽 신청 항목 표 / 1쪽 진행 일정 표,자료 수 칸이 비어 있음
S15,S15_처음_오신_분을_위한_묶음.pdf,1,처음 오신 분을 위한 묶음,직접 배부,5,2026-05-20,,진행역할,,missing,1쪽 신청 항목 표 / 1쪽 진행 일정 표,배포 예정일 칸이 비어 있음
S16,S16_목요일_오후_읽을_거리.pdf,1,목요일 오후 읽을 거리,온라인,9,2026-05-20,2026-06-10,편집역할,2026-06-17,conflict,1쪽 신청 항목 표 / 1쪽 진행 일정 표,본문 배포 예정일과 일정표의 배포일이 다름
S17,S17_같이_고른_책_묶음.pdf,1,같이 고른 책 묶음,우편,8,2026-05-21,2026-05-15,검토역할,2026-05-15,conflict,1쪽 신청 항목 표 / 1쪽 진행 일정 표,배포 예정일이 제출일보다 빠름
S18,S18_짧은_글_모음_1차.pdf,2,짧은 글 모음 1차,직접 배부,10,2026-05-04,2026-05-19,검토역할,2026-05-19,older,1쪽 신청 항목 표 / 1쪽 진행 일정 표,"S04와 제목·내용이 같고 문서에 ""이전 버전"" 표시가 있음"
S19,S19_밑줄_긋는_밤.pdf,1,밑줄 긋는 밤,온라인,7,2026-05-06,2026-05-26,검토역할,2026-05-26,older,1쪽 신청 항목 표 / 1쪽 진행 일정 표,"S07과 제목·내용이 같고 문서에 ""이전 버전"" 표시가 있음"
S20,S20_비_오는_날_읽을_거리.pdf,1,비 오는 날 읽을 거리,온라인,(읽기 불가),2026-05-21,(읽기 불가),진행역할,,scan,1쪽 신청 항목 표,스캔 상태가 나빠 자료 수와 배포 예정일을 읽을 수 없음
